TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,COURT
TOR,TOR @ ORL,2022-04-01,W,12,17,6,19,31.6,1,7,14.3,4,5,80.0,2,7,9,3,3,0,1,4,-9,0
SAS,SAS vs. POR,2022-04-01,W,12,29,11,20,55.0,5,10,50.0,2,4,50.0,1,10,11,7,5,3,2,7,-1,1
SAC,SAC @ HOU,2022-04-01,W,12,36,13,19,68.4,5,7,71.4,5,6,83.3,1,13,14,10,5,1,4,8,10,0
POR,POR @ SAS,2022-04-01,L,12,30,10,24,41.7,3,7,42.9,7,10,70.0,4,10,14,3,3,4,1,4,1,0
PHX,PHX @ MEM,2022-04-01,L,12,31,14,26,53.8,3,11,27.3,0,1,0.0,0,7,7,8,5,2,0,11,-7,0
ORL,ORL vs. TOR,2022-04-01,L,12,26,10,20,50.0,2,5,40.0,4,4,100.0,2,11,13,8,3,2,2,4,9,1
OKC,OKC vs. DET,2022-04-01,L,12,35,13,21,61.9,2,6,33.3,7,9,77.8,4,9,13,8,2,1,2,5,8,1
NOP,NOP @ LAL,2022-04-01,W,12,28,9,19,47.4,1,5,20.0,9,11,81.8,2,9,11,4,2,1,2,7,4,0
MIN,MIN @ DEN,2022-04-01,W,12,38,12,21,57.1,6,10,60.0,8,10,80.0,1,7,8,6,2,6,0,5,2,0
MIL,MIL vs. LAC,2022-04-01,L,12,31,13,22,59.1,1,3,33.3,4,7,57.1,3,7,10,5,5,1,2,3,-8,1
MEM,MEM vs. PHX,2022-04-01,W,12,38,12,20,60.0,1,3,33.3,13,15,86.7,2,10,12,7,4,1,1,5,7,1
LAL,LAL vs. NOP,2022-04-01,L,12,24,8,19,42.1,4,7,57.1,4,8,50.0,0,8,8,6,4,1,0,8,-4,1
LAC,LAC @ MIL,2022-04-01,W,12,39,15,24,62.5,6,11,54.5,3,3,100.0,1,6,7,7,2,5,1,6,8,0
IND,IND @ BOS,2022-04-01,L,12,32,10,18,55.6,5,8,62.5,7,8,87.5,2,4,6,7,3,1,1,7,0,0
HOU,HOU vs. SAC,2022-04-01,L,12,26,7,20,35.0,3,11,27.3,9,13,69.2,2,4,6,3,2,3,1,7,-10,1
DET,DET @ OKC,2022-04-01,W,12,27,9,18,50.0,3,9,33.3,6,8,75.0,1,5,6,7,3,2,1,7,-8,0
DEN,DEN vs. MIN,2022-04-01,L,12,36,11,19,57.9,6,14,42.9,8,9,88.9,2,9,11,9,6,1,1,6,-2,1
DAL,DAL @ WAS,2022-04-01,L,12,25,10,24,41.7,2,8,25.0,3,4,75.0,2,5,7,4,1,0,1,4,-16,0
BOS,BOS vs. IND,2022-04-01,W,12,32,13,20,65.0,3,8,37.5,3,4,75.0,2,5,7,7,3,1,1,5,0,1
UTA,UTA vs. LAL,2022-03-31,W,12,23,8,19,42.1,2,9,22.2,5,8,62.5,2,10,12,5,3,2,1,4,-1,1
PHI,PHI @ DET,2022-03-31,L,12,15,6,16,37.5,0,6,0.0,3,3,100.0,1,5,6,5,5,3,1,5,-14,0
MIL,MIL @ BKN,2022-03-31,W,12,23,7,17,41.2,3,10,30.0,6,8,75.0,3,12,15,2,8,2,1,3,-1,0
LAL,LAL @ UTA,2022-03-31,L,12,24,10,20,50.0,3,8,37.5,1,2,50.0,1,7,8,5,2,2,1,6,1,0
LAC,LAC @ CHI,2022-03-31,L,12,26,7,19,36.8,3,7,42.9,9,9,100.0,1,7,8,5,2,2,1,8,-10,0
DET,DET vs. PHI,2022-03-31,W,12,29,11,17,64.7,5,10,50.0,2,4,50.0,2,8,10,7,4,4,1,4,14,1
CLE,CLE @ ATL,2022-03-31,L,12,32,11,23,47.8,2,11,18.2,8,9,88.9,3,9,12,5,2,1,2,4,1,0
CHI,CHI vs. LAC,2022-03-31,W,12,36,12,22,54.5,3,6,50.0,9,11,81.8,4,11,15,5,2,1,0,7,10,1
BKN,BKN vs. MIL,2022-03-31,L,12,24,9,24,37.5,4,9,44.4,2,4,50.0,3,5,8,7,3,3,1,6,1,1
ATL,ATL vs. CLE,2022-03-31,W,12,31,11,23,47.8,4,9,44.4,5,6,83.3,2,9,11,7,2,2,0,6,-1,1
WAS,WAS vs. ORL,2022-03-30,W,12,41,15,24,62.5,4,8,50.0,7,9,77.8,5,9,14,10,3,3,2,5,10,1
TOR,TOR vs. MIN,2022-03-30,W,12,28,11,22,50.0,2,7,28.6,4,5,80.0,4,14,18,5,8,2,0,5,8,1
SAS,SAS vs. MEM,2022-03-30,L,12,25,10,20,50.0,2,6,33.3,3,4,75.0,3,8,11,6,2,2,0,4,6,1
